Name	Days	Nights	Miles	Vertical	Partners	Solo?	Summit	Date
Rainier WV	2	1	14.48	9043		FALSE		
							Mt. Rainier	07-20-2010
Adams WV	4	3	22.23	9056		FALSE		
							Mt. Adams	07-16-2010
Little Tahoma	2	2	16	7438	Duncan	FALSE		
							Little Tahoma	06-25-2015
Mount Baker North Ridge	3	2	14.98	8028		FALSE		
							Mt. Baker	07-14-2012
Glacier Peak	2	2	32.92	13023	Cameron,Addison	FALSE		
							Glacier Peak	05-05-2019
Bonanza and Martin	3	2	16.52	9242	Dan,Margaret	FALSE		
							Bonanza Peak	07-21-2019
							Martin Peak	07-21-2019
West Ridge Stuart	3	2	16.74	9879	Adam	FALSE		
							Mt. Stuart	08-05-2018
							Sherpa Peak	08-05-2018
South Specatcle Butte	3	3	24.92	16335	Becca	FALSE		
							Mt. Fernow	07-13-2018
							South Spectacle Butte	07-14-2018
Goode and Storm King	4	3	36	9100	Dan	FALSE		
							Goode Mountain	07-28-2015
							Storm King	07-28-2015
Shuksan	2	1	13.18	6863	Dan	FALSE		
							Mt. Shuksan	08-06-2014
Buckner and Horseshoe	2	1	18.29	8995	Adam,Alex	FALSE		
							Mt. Buckner	07-01-2019
							Horseshoe Peak	07-01-2019
Seven Fingered Jack	3	2	11.92	6014	Dan,Margaret	FALSE		
							Seven Fingered Jack	07-03-2005
Ragged Ridge Solo	3	2	31.12	17938		TRUE		
							Mt. Logan	08-04-2019
							Kimtah Peak	08-05-2019
							Cosho Peak	08-04-2019
Maude	3	2	14.58	6354	Dan,Adam,Margaret	FALSE		
							Mt. Maude	08-29-2009
Chilliwacking	3	2	29.83	16133	Adam	FALSE		
							Mt. Spickard	07-13-2019
							Mt. Redoubt	07-15-2019
							Mt. Rahm	07-14-2019
							Mt. Custer	07-14-2019
Black Peak	3	3	7.26	6252	Dan,Margaret,Leah	FALSE		
							Black Peak	07-03-2006
Copper with Dad	3	2	7	6070	Dan	FALSE		
							Copper Peak	09-02-2018
Gardners	1	1	17.5	7500	Sean	FALSE		
							North Gardner Mountain	06-09-2019
							Gardner Mountain	06-09-2019
Sinister	3	2	37.2	10388	Dan	FALSE		
							Dome Peak	06-20-2015
							Sinister Peak	06-20-2015
Boston	2	1	12.2	7421	Dan	FALSE		
							Boston Peak	07-18-2018
Silver Star Ski	1	1	7.26	5500	Duncan	FALSE		
							Silver Star Mountain	05-15-2014
Eldorado and Austera 	5	4	13.26	8758	Dan,Adam,Margaret	FALSE		
							Eldorado Peak	08-02-2010
							Austera Peak	08-03-2010
Dragontail and Colchuck	1	1	14.5	6400	Dan	FALSE		
							Dragontail Peak	09-28-2008
							Colchuck Peak	09-28-2008
Forbidden Adam Accident	2	1	8.21	7091	Dan,Adam	FALSE		
							Forbidden Peak	07-15-2013
Ragged ridge with Dad	2	1	13	6823	Dan	FALSE		
							Mesahchie Peak	06-26-2016
							Katsuk Peak	06-26-2016
Star, Oval, Courtney	3	2	23	10067		TRUE		
							Oval Peak	05-21-2016
							Star Peak	05-21-2016
							Courtney Peak	05-21-2016
Fortress with Marco	2	1	22	7746	Dan,Adam,Margaret,Marco	FALSE		
							Fortress Mountain	07-31-2011
Pasayten Speedy Solo	3	3	48.95	19630		TRUE		
							Mt. Lago	09-01-2019
							Ptarmigan Peak	09-01-2019
							Lost Peak	09-01-2019
							Blackcap Mountain	08-31-2019
